BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
1,0,Forced Air,Y,,3,1,1960.0,1979.0,1960,,,,U,1,,1,,,,,,,,,0,17,115,2018-07-22 18:01:38,Condominium,2012.0,572.0,,,,20037.0,,38.90038402,-77.05171922,Foggy Bottom,,5600.0,,Ward 2,30.0,-77.05172152850454,38.900391469418565,NW
1,0,Ht Pump,Y,,3,1,1926.0,1979.0,1926,,2006-06-15 00:00:00,300000.0,Q,1,,1,,,,,,,,,0,16,346,2018-07-22 18:01:38,Condominium,1134.0,584.0,,,,20009.0,,38.92093652,-77.04763058500002,Kalorama,029 C Kalorama,4001.0,,Ward 1,2543.0,-77.04763288032656,38.92094397747271,NW
1,0,Ht Pump,Y,,3,1,1965.0,1981.0,1965,,2002-08-01 00:00:00,200500.0,Q,1,,1,,,,,,,,,0,17,215,2018-07-22 18:01:38,Condominium,2095.0,640.0,,,,20009.0,,38.91487365,-77.04042678,Old City 2,040 D Old City 2,4201.0,,Ward 2,152.0,-77.04042907495098,38.914881109044266,NW
1,0,Forced Air,Y,,3,1,2016.0,,2016,,2016-09-14 00:00:00,409900.0,Q,2,,1,,,,,,,,,0,17,226,2018-07-22 18:01:38,Condominium,5388.0,494.0,,,,20024.0,,38.87927087,-77.02462256,Southwest Waterfront,,10200.0,,Ward 6,473.0,-77.02462485100938,38.87927865689815,SW
1,0,Forced Air,Y,1.0,10,5,1900.0,1998.0,1964,3.0,1999-03-02 00:00:00,177945.0,U,1,2568.0,1,3 Story,Semi-Detached,Average,Good,Wood Siding,Metal- Sms,Hardwood,1.0,0,13,2380,2018-07-22 18:01:43,Residential,,,223 8TH STREET SE,WASHINGTON,DC,20003.0,18S UJ 26947 06104,38.88677251,-76.99523582,Capitol Hill,009 B Capitol Hill,6600.0,006600 1018,Ward 6,900.0,-76.99546512289882,38.88696091216006,SE
3,1,Hot Water Rad,Y,2.0,11,5,1900.0,,1963,3.0,,,U,1,3029.0,1,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2.0,0,24,1394,2018-07-22 18:01:43,Residential,,,904 EAST CAPITOL STREET NE,WASHINGTON,DC,20003.0,18S UJ 27110 06470,38.89010634,-76.99344563,Capitol Hill,009 C Capitol Hill,8100.0,008100 3006,Ward 6,941.0,-76.99323368878973,38.8904090880536,NE
2,1,Hot Water Rad,Y,2.0,8,5,1915.0,2006.0,1978,3.0,,,U,1,3454.0,1,3 Story,Row Inside,Excellent,Good,Common Brick,Built Up,Hardwood,2.0,3,24,2575,2018-07-22 18:01:43,Residential,,,2333 ASHMEAD PLACE NW,WASHINGTON,DC,20009.0,18S UJ 22504 09847,38.91959322,-77.04739931,Kalorama,029 C Kalorama,4001.0,004001 3008,Ward 1,2540.0,-77.04711328279454,38.9195567005216,NW
1,2,Forced Air,N,1.0,8,4,1947.0,,1960,1.5,,,U,1,1156.0,1,1.5 Story Fin,Single,Above Average,Average,Stone Veneer,Comp Shingle,Hardwood,1.0,1,12,5000,2018-07-22 18:01:43,Residential,,,1231 34TH PLACE SE,WASHINGTON,DC,20019.0,18S UJ 30255 04702,38.87479111,-76.95676035,Hillcrest,028 B Hillcrest,9901.0,009901 2004,Ward 7,5511.0,-76.95619045192731,38.87509571910184,SE
3,1,Ht Pump,Y,1.0,8,3,2017.0,,2017,2.0,2017-12-07 00:00:00,409000.0,Q,2,1476.0,1,2 Story,Row End,Above Average,Very Good,Face Brick,Comp Shingle,Hardwood,1.0,0,11,2182,2018-07-22 18:01:43,Residential,,,3428 10TH PLACE SE,WASHINGTON,DC,20032.0,18S UJ 27135 00888,38.83983553,-76.99175358,Congress Heights,016 B Congress Heights,7304.0,007304 3005,Ward 8,5933.0,-76.99075346890206,38.840328452078936,SE
1,0,Forced Air,Y,,3,1,1959.0,2006.0,1959,,2008-03-26 00:00:00,,Q,1,,1,,,,,,,,,0,17,223,2018-07-22 18:01:38,Condominium,2838.0,581.0,,,,20024.0,,38.88082098,-77.01427073,Southwest Waterfront,,10500.0,,Ward 6,540.0,-77.0142730131491,38.8808284329871,SW
1,0,Hot Water Rad,N,1.0,6,3,1927.0,1970.0,1954,2.0,2002-09-10 00:00:00,245970.0,Q,1,1650.0,1,2 Story,Semi-Detached,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,1,13,2470,2018-07-22 18:01:43,Residential,,,1452 LAWRENCE STREET NE,WASHINGTON,DC,20017.0,18S UJ 27948 11109,38.93204424,-76.98494653,Brookland,007 D Brookland,9301.0,009301 4004,Ward 5,4008.0,-76.98525108586531,38.93228339687877,NE
1,0,Hot Water Rad,N,1.0,5,3,1948.0,,1948,2.0,,,U,1,1024.0,1,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,13,2737,2018-07-22 18:01:43,Residential,,,17 UNDERWOOD PLACE NW,WASHINGTON,DC,20012.0,18S UJ 25870 15290,38.96928688,-77.00997327,Takoma Park,,1702.0,001702 2020,Ward 4,3367.0,-77.01033360933256,38.96892898848536,NW
2,1,Forced Air,Y,1.0,7,4,1914.0,2007.0,1960,2.0,2015-02-24 00:00:00,733700.0,Q,2,1280.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1.0,1,11,1028,2018-07-22 18:01:43,Residential,,,1371 NORTH CAROLINA AVENUE NE,WASHINGTON,DC,20002.0,18S UJ 27747 06574,38.89116824,-76.98613123,Old City 1,039 K Old City 1,8002.0,008002 2015,Ward 6,1035.0,-76.98656779588873,38.89053419962134,NE
1,0,Warm Cool,Y,1.0,6,3,1947.0,2016.0,1967,2.0,2017-01-11 00:00:00,308160.0,U,4,1088.0,1,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,13,2233,2018-07-22 18:01:43,Residential,,,1539 FORT DUPONT STREET SE,WASHINGTON,DC,20020.0,18S UJ 31240 03928,38.86801312,-76.94522495,Fort Dupont Park,022 D Fort Dupont Park,9902.0,009902 2000,Ward 7,5369.0,-76.94397317160333,38.8694110679518,SE
1,1,Ht Pump,Y,,4,1,1928.0,1982.0,1928,,2004-06-01 00:00:00,330000.0,Q,1,,1,,,,,,,,,1,16,358,2018-07-22 18:01:38,Condominium,2348.0,773.0,,,,20002.0,,38.894118945,-76.99199991500002,Old City 1,039 K Old City 1,8100.0,,Ward 6,963.0,-76.99200219441734,38.89412639380947,NE
2,0,Hot Water Rad,N,2.0,6,3,1890.0,,1960,2.0,,,U,1,1690.0,1,2 Story,Row Inside,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,2.0,0,24,2160,2018-07-22 18:01:43,Residential,,,1710 15TH STREET NW,WASHINGTON,DC,20009.0,18S UJ 23578 09096,38.91305138,-77.03482359,Old City 2,040 E Old City 2,5201.0,005201 2000,Ward 2,192.0,-77.03484781699073,38.91305511912857,NW
1,0,Hot Water Rad,N,1.0,7,3,1912.0,2005.0,1943,2.0,,,U,1,1184.0,1,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,11,2810,2018-07-22 18:01:43,Residential,,,719 UPSHUR STREET NW,WASHINGTON,DC,20011.0,18S UJ 24725 12304,38.94216929,-77.02242337,Petworth,042 A Petworth,2400.0,002400 3001,Ward 4,3136.0,-77.02254687195266,38.94245556332525,NW
1,1,Forced Air,N,1.0,6,3,1900.0,,1957,2.0,,,U,1,1702.0,1,2 Story,Semi-Detached,Above Average,Average,Common Brick,Built Up,Hardwood/Carp,1.0,1,13,2280,2018-07-22 18:01:43,Residential,,,1916 5TH STREET NW,WASHINGTON,DC,20001.0,18S UJ 24969 09444,38.91645876,-77.01887128,Ledroit Park,031 A Ledroit Park,3400.0,003400 2019,Ward 1,3091.0,-77.01947304475662,38.916333699923456,NW
1,1,Warm Cool,Y,1.0,6,3,1980.0,2004.0,1986,2.0,2004-07-07 00:00:00,157000.0,Q,1,1134.0,1,2 Story,Row Inside,Average,Good,Brick Veneer,Comp Shingle,Carpet,1.0,0,11,1170,2018-07-22 18:01:43,Residential,,,1016 BARNABY TERRACE SE,WASHINGTON,DC,20032.0,18S UJ 27294 00280,38.83439109,-76.98977421,Congress Heights,016 C Congress Heights,9700.0,009700 1012,Ward 8,5921.0,-76.98774542410567,38.83440942540771,SE
1,0,Forced Air,Y,,4,2,1875.0,2006.0,1919,,2006-05-24 00:00:00,490000.0,Q,1,,1,,,,,,,,,0,16,263,2018-07-22 18:01:38,Condominium,2739.0,755.0,,,,20009.0,,38.91176266,-77.03782161,Old City 2,040 D Old City 2,5301.0,,Ward 2,179.0,-77.03782390035846,38.91177011315478,NW
1,0,Forced Air,Y,,4,1,2004.0,2004.0,2004,,2018-02-23 00:00:00,802000.0,Q,4,,1,,,,,,,,,0,17,260,2018-07-22 18:01:38,Condominium,2636.0,1060.0,,,,20005.0,,38.91049082,-77.03344358,Old City 2,040 E Old City 2,5201.0,,Ward 2,209.0,-77.03344587882418,38.91049827755338,NW
1,0,Warm Cool,Y,1.0,7,3,1957.0,,1968,1.0,,,U,1,1160.0,1,1 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,12,6973,2018-07-22 18:01:43,Residential,,,1101 CHAPLIN STREET SE,WASHINGTON,DC,20019.0,18S UJ 31761 05013,38.87788395,-76.93949021,Fort Dupont Park,022 C Fort Dupont Park,7707.0,007707 2007,Ward 7,5389.0,-76.93913968358306,38.877720527814134,SE
1,0,Warm Cool,Y,,4,2,1978.0,,1978,,2003-11-03 00:00:00,145000.0,Q,1,,1,,,,,,,,,0,16,2463,2018-07-22 18:01:38,Condominium,3032.0,956.0,,,,20018.0,,38.92593807,-76.96284164,Fort Lincoln,,9000.0,,Ward 5,4326.0,-76.96284390490514,38.92594552939342,NE
2,0,Forced Air,Y,,5,3,2007.0,,2007,,2008-07-14 00:00:00,220000.0,Q,1,,1,,,,,,,,,0,16,1092,2018-07-22 18:01:38,Condominium,3152.0,1105.0,,,,20019.0,,38.893641775,-76.914172735,Deanwood,018 C Deanwood,7808.0,,Ward 7,5266.0,-76.91417498532633,38.893649229535434,NE
3,1,Hot Water Rad,Y,1.0,6,4,1920.0,2010.0,1969,2.5,2010-03-23 00:00:00,764500.0,Q,1,1986.0,1,2.5 Story Fin,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,12,4896,2018-07-22 18:01:43,Residential,,,5332 NEVADA AVENUE NW,WASHINGTON,DC,20015.0,18S UJ 20754 14382,38.96008588,-77.06875765,Chevy Chase,011 B Chevy Chase,1402.0,001402 3000,Ward 3,1990.0,-77.06926879755864,38.95985980845561,NW
2,0,Ht Pump,Y,,6,3,1976.0,1976.0,1976,,2016-06-08 00:00:00,785000.0,U,3,,1,,,,,,,,,0,16,804,2018-07-22 18:01:38,Condominium,2009.0,1604.0,,,,20037.0,,38.9016372,-77.05248123,Foggy Bottom,,5600.0,,Ward 2,28.0,-77.05248353533756,38.90164465416765,NW
3,0,Hot Water Rad,N,1.0,9,4,1937.0,,1947,2.0,2008-04-11 00:00:00,,U,1,2041.0,1,2 Story,Row End,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1.0,2,11,2481,2018-07-22 18:01:43,Residential,,,135 GALLATIN STREET NW,WASHINGTON,DC,20011.0,18S UJ 25586 13429,38.95247504,-77.01277307,Petworth,042 C Petworth,2102.0,002102 3005,Ward 4,3399.0,-77.01260451160279,38.95288242084766,NW
3,0,Warm Cool,Y,1.0,8,3,1937.0,,1957,2.0,2003-07-08 00:00:00,534000.0,Q,1,1508.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1.0,2,11,1680,2018-07-22 18:01:43,Residential,,,2434 39TH PLACE NW,WASHINGTON,DC,20007.0,18S UJ 19845 10136,38.92165404,-77.07812135,Glover Park,,300.0,000300 2000,Ward 3,1810.0,-77.07769628367474,38.92160942896461,NW
2,1,Warm Cool,Y,1.0,9,4,1990.0,,1995,1.0,2010-01-15 00:00:00,,U,1,1500.0,1,1 Story,Single,Good Quality,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,12,4125,2018-07-22 18:01:43,Residential,,,1300 37TH PLACE SE,WASHINGTON,DC,20019.0,18S UJ 30532 04652,38.87439342,-76.95355701,Hillcrest,028 B Hillcrest,9901.0,009901 2010,Ward 7,5513.0,-76.95285582970317,38.87425406411009,SE
1,0,Forced Air,Y,,3,1,1955.0,1980.0,1955,,,,U,1,,1,,,,,,,,,0,17,221,2018-07-22 18:01:38,Condominium,3008.0,777.0,,,,20015.0,,38.95982687,-77.07131695,Chevy Chase,011 B Chevy Chase,1402.0,,Ward 3,1873.0,-77.07131924839405,38.959834337807344,NW
2,1,Warm Cool,Y,1.0,7,3,1952.0,2012.0,1978,2.0,2012-04-30 00:00:00,690000.0,Q,1,1088.0,1,2 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,1.0,0,11,1677,2018-07-22 18:01:43,Residential,,,4817 41ST STREET NW,WASHINGTON,DC,20016.0,18S UJ 19756 13609,38.9529164,-77.08005883,Chevy Chase,011 A Chevy Chase,1100.0,001100 4014,Ward 3,1764.0,-77.08006676518946,38.952992590056255,NW
2,1,Warm Cool,Y,1.0,6,3,1983.0,,1990,2.0,,,U,1,1188.0,1,2 Story,Semi-Detached,Above Average,Average,Aluminum,Comp Shingle,Hardwood,1.0,0,13,3300,2018-07-22 18:01:43,Residential,,,4313 VARNUM PLACE NE,WASHINGTON,DC,20017.0,18S UJ 26964 12218,38.94184357,-76.99657516,Brookland,007 C Brookland,9504.0,009504 2018,Ward 5,3810.0,-76.99605422326955,38.94199233823822,NE
2,0,Ht Pump,Y,,4,2,2004.0,2004.0,2004,,2017-04-06 00:00:00,552000.0,Q,5,,1,,,,,,,,,0,17,192,2018-07-22 18:01:38,Condominium,2634.0,860.0,,,,20001.0,,38.90523167,-77.02644634,Old City 2,040 C Old City 2,4902.0,,Ward 2,341.0,-77.02644862768078,38.905239121069755,NW
1,1,Hot Water Rad,N,1.0,5,2,1922.0,1990.0,1957,1.75,,,U,1,1087.0,1,2 Story,Single,Above Average,Average,Wood Siding,Comp Shingle,Hardwood,1.0,1,12,4500,2018-07-22 18:01:43,Residential,,,2600 24TH STREET NE,WASHINGTON,DC,20018.0,18S UJ 29014 10152,38.9236408,-76.97241957,Woodridge,056 C Woodridge,11100.0,011100 3002,Ward 5,4254.0,-76.9732664293523,38.92393004144437,NE
1,0,Forced Air,Y,,2,1,1926.0,1987.0,1926,,,,U,1,,1,,,,,,,,,1,16,107,2018-07-22 18:01:38,Condominium,1039.0,248.0,,,,20037.0,,38.90643337,-77.04783872,Central-tri 1,,5500.0,,Ward 2,70.0,-77.04784102000431,38.90644082183445,NW
1,1,Hot Water Rad,N,1.0,7,4,1910.0,2011.0,1978,2.0,2010-12-21 00:00:00,300000.0,U,1,1820.0,1,2 Story,Row Inside,Average,Good,Wood Siding,Metal- Sms,Wood Floor,1.0,0,11,2512,2018-07-22 18:01:43,Residential,,,756 MORTON STREET NW,WASHINGTON,DC,20010.0,18S UJ 24446 11150,38.93172267,-77.02533859,Columbia Heights,015 D Columbia Heights,3100.0,003100 1007,Ward 1,2893.0,-77.02493134080352,38.93170784816209,NW
1,0,Wall Furnace,Y,,2,0,1966.0,1980.0,1966,,2004-05-12 00:00:00,165000.0,Q,1,,1,,,,,,,,,0,17,88,2018-07-22 18:01:38,Condominium,1038.0,418.0,,,,20037.0,,38.90643337,-77.04783872,Central-tri 1,,5500.0,,Ward 2,70.0,-77.04784102000431,38.90644082183445,NW
3,0,Hot Water Rad,N,3.0,9,3,1941.0,,1954,3.0,,,U,1,1776.0,1,3 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,3.0,0,23,1344,2018-07-22 18:01:43,Residential,,,1740 BENNING ROAD NE,WASHINGTON,DC,20002.0,18S UJ 28479 07475,38.89942575,-76.97791908,Trinidad,052 C Trinidad,8904.0,008904 2009,Ward 5,4507.0,-76.97725044442403,38.89964161967971,NE
1,0,Forced Air,Y,1.0,4,2,1941.0,2011.0,1964,2.0,2011-09-27 00:00:00,65000.0,U,1,832.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,0,11,1760,2018-07-22 18:01:43,Residential,,,30 35TH STREET NE,WASHINGTON,DC,20019.0,18S UJ 30403 06453,38.89059458,-76.95549056,Deanwood,018 A Deanwood,9603.0,009603 3000,Ward 7,5046.0,-76.95365119217756,38.89147672853433,NE
2,1,Hot Water Rad,Y,1.0,6,3,1924.0,2002.0,1960,2.0,2002-05-14 00:00:00,,U,1,1080.0,1,2 Story,Row Inside,Good Quality,Average,Stucco,Metal- Sms,Hardwood,1.0,0,11,1825,2018-07-22 18:01:43,Residential,,,1904 37TH STREET NW,WASHINGTON,DC,20007.0,18S UJ 20268 09459,38.91564957,-77.07306766,Burleith,008 A Burleith,300.0,000300 3003,Ward 2,1309.0,-77.07344151168522,38.91597571936853,NW
1,0,Forced Air,Y,,4,1,2007.0,,2007,,2008-05-08 00:00:00,375900.0,Q,1,,1,,,,,,,,,0,17,139,2018-07-22 18:01:38,Condominium,2875.0,868.0,,,,20001.0,,38.90314058,-77.01777614,Old City 2,040 B Old City 2,4701.0,,Ward 6,515.0,-77.01777842507026,38.90314803223472,NW
1,1,Forced Air,Y,1.0,4,2,1900.0,2008.0,1964,2.0,2008-08-06 00:00:00,316000.0,U,1,896.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Wood Floor,1.0,0,11,1315,2018-07-22 18:01:43,Residential,,,1546 8TH STREET NW,WASHINGTON,DC,20001.0,18S UJ 24582 08814,38.9107094,-77.02317238,Old City 2,040 C Old City 2,4901.0,004901 2005,Ward 6,397.0,-77.0232777145568,38.91045826050753,NW
2,1,Forced Air,Y,1.0,6,3,1990.0,,1994,2.0,2014-02-24 00:00:00,695000.0,Q,1,1500.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,11,1527,2018-07-22 18:01:43,Residential,,,713 8TH STREET NE,WASHINGTON,DC,20002.0,18S UJ 27022 07507,38.89942817,-76.99471955,Old City 1,039 J Old City 1,8402.0,008402 2001,Ward 6,912.0,-76.99369948207207,38.89983494540625,NE
3,1,Hot Water Rad,N,3.0,10,4,1880.0,1961.0,1960,3.0,,,U,1,3060.0,1,3 Story,Row Inside,Good Quality,Average,Brick/Stone,Metal- Sms,Hardwood/Carp,3.0,4,24,2006,2018-07-22 18:01:43,Residential,,,306 2ND STREET SE,WASHINGTON,DC,20003.0,18S UJ 26244 06006,38.88572768,-77.00330770000002,Capitol Hill,009 A Capitol Hill,6500.0,006500 1006,Ward 6,763.0,-77.00294458516419,38.885640905818526,SE
1,0,Ht Pump,Y,,4,1,2005.0,2005.0,2005,,2009-02-19 00:00:00,360000.0,U,1,,1,,,,,,,,,0,17,91,2018-07-22 18:01:38,Condominium,2714.0,787.0,,,,20001.0,,38.90212914,-77.01959632500002,Old City 2,040 B Old City 2,4702.0,,Ward 6,484.0,-77.01959861231043,38.90213659245643,NW
1,1,Forced Air,N,1.0,7,3,1947.0,,1947,1.5,2015-11-06 00:00:00,370000.0,Q,2,1152.0,1,1.5 Story Fin,Semi-Detached,Average,Average,Common Brick,Built Up,Hardwood/Carp,1.0,0,13,2335,2018-07-22 18:01:43,Residential,,,5020 SARGENT ROAD NE,WASHINGTON,DC,20017.0,18S UJ 27573 13233,38.95110549,-76.98980696,Riggs Park,,9509.0,009509 1000,Ward 5,3911.0,-76.99004314810452,38.95134773483385,NE
1,0,Ht Pump,Y,,3,1,2003.0,2003.0,2003,,2003-09-02 00:00:00,265000.0,U,1,,1,,,,,,,,,0,16,426,2018-07-22 18:01:38,Condominium,1525.0,564.0,,,,20009.0,,38.923479240000006,-77.046001685,Mt. Pleasant,036 B Mt. Pleasant,3900.0,,Ward 1,2547.0,-77.04600398189135,38.923486696161135,NW
3,1,Forced Air,Y,1.0,6,3,2013.0,,2015,2.0,2013-07-16 00:00:00,440145.0,Q,1,1700.0,1,2 Story,Row Inside,Good Quality,Very Good,Face Brick,Comp Shingle,Hardwood/Carp,1.0,0,11,1520,2018-07-22 18:01:43,Residential,,,3718 HANSBERRY COURT NE,WASHINGTON,DC,20018.0,18S UJ 30742 10069,38.92322223,-76.95253704,Fort Lincoln,,9000.0,009000 1001,Ward 5,4327.0,-76.95398699232558,38.923361946691216,NE
2,1,Warm Cool,Y,1.0,8,3,1964.0,2005.0,1983,2.0,2018-06-28 00:00:00,250000.0,Q,6,2080.0,1,2 Story,Single,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,2,12,8335,2018-07-22 18:01:43,Residential,,,2927 HILLCREST DRIVE SE,WASHINGTON,DC,20020.0,18S UJ 29511 03502,38.86384074,-76.96503761,Hillcrest,028 C Hillcrest,7604.0,007604 2015,Ward 7,5639.0,-76.96703591495293,38.86403384016944,SE
1,1,Forced Air,Y,1.0,6,3,1895.0,2001.0,1969,2.0,2005-11-03 00:00:00,529000.0,Q,1,1685.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,0,11,1500,2018-07-22 18:01:43,Residential,,,66 SEATON PLACE NW,WASHINGTON,DC,20001.0,18S UJ 25628 09228,38.91464744,-77.01122719,Eckington,019 A Eckington,3302.0,003302 1004,Ward 5,3106.0,-77.0106996161485,38.91438106515236,NW
2,0,Hot Water Rad,N,1.0,8,4,1932.0,,1954,2.0,2015-04-10 00:00:00,,U,3,1762.0,1,2 Story,Single,Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,12,4250,2018-07-22 18:01:43,Residential,,,3302 20TH STREET NE,WASHINGTON,DC,20018.0,18S UJ 28682 11024,38.9314255,-76.97646901,Woodridge,056 A Woodridge,9400.0,009400 2012,Ward 5,4205.0,-76.97781037095329,38.931702941997024,NE
3,1,Forced Air,Y,1.0,6,3,2011.0,,2013,3.0,2018-03-16 00:00:00,830000.0,Q,3,1582.0,1,3 Story,Row Inside,Good Quality,Very Good,Brick/Siding,Built Up,Hardwood/Carp,1.0,1,11,873,2018-07-22 18:01:43,Residential,,,3115 CHANCELLOR'S WAY NE,WASHINGTON,DC,20017.0,18S UJ 26828 10815,38.92917568,-76.99779156,Brookland,007 E Brookland,9201.0,009201 1004,Ward 5,3648.0,-76.99850865556608,38.92862450390104,NE
2,1,Hot Water Rad,Y,1.0,9,4,1925.0,2016.0,1972,2.0,2000-05-12 00:00:00,,U,1,1870.0,1,2 Story,Row End,Very Good,Good,Common Brick,Metal- Sms,Hardwood,1.0,1,11,2922,2018-07-22 18:01:43,Residential,,,2819 WOODLEY ROAD NW,WASHINGTON,DC,20008.0,18S UJ 21664 10642,38.92658619,-77.05728858,Garfield,,502.0,000502 1002,Ward 3,2111.0,-77.05696403812601,38.92739574303442,NW
2,0,Warm Cool,Y,,4,2,1900.0,1991.0,1900,,2010-12-07 00:00:00,485000.0,Q,1,,1,,,,,,,,,1,17,203,2018-07-22 18:01:38,Condominium,2157.0,755.0,,,,20009.0,,38.91786846,-77.03705297,Old City 2,040 D Old City 2,4201.0,,Ward 1,175.0,-77.03705526440514,38.917875914046896,NW
1,0,Hot Water Rad,N,1.0,6,3,1919.0,,1957,1.25,,,U,1,1160.0,1,1.5 Story Fin,Single,Above Average,Average,Wood Siding,Comp Shingle,Hardwood,1.0,1,12,5005,2018-07-22 18:01:43,Residential,,,2901 25TH STREET NE,WASHINGTON,DC,20018.0,18S UJ 29152 10524,38.92701658,-76.97092376,Woodridge,056 C Woodridge,11100.0,011100 2023,Ward 5,4287.0,-76.97041000811333,38.927034621014364,NE
1,0,Hot Water Rad,N,1.0,6,3,1927.0,,1950,2.0,,,U,1,1408.0,1,2 Story,Row End,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1.0,0,11,1589,2018-07-22 18:01:43,Residential,,,2301 TUNLAW ROAD NW,WASHINGTON,DC,20007.0,18S UJ 20269 09961,38.92017248,-77.07318622,Glover Park,,300.0,000300 4000,Ward 3,1300.0,-77.07239471352055,38.92000901225028,NW
1,1,Hot Water Rad,N,1.0,5,2,1939.0,,1957,2.0,2005-12-28 00:00:00,195000.0,Q,1,832.0,1,2 Story,Semi-Detached,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1.0,0,13,1899,2018-07-22 18:01:43,Residential,,,2929 M STREET SE,WASHINGTON,DC,20019.0,18S UJ 29449 04931,38.87670064,-76.96610781,Hillcrest,028 A Hillcrest,7709.0,007709 1025,Ward 7,5505.0,-76.96662539012206,38.87644986502446,SE
1,0,Hot Water Rad,N,1.0,7,3,1925.0,,1947,1.5,2015-11-19 00:00:00,,U,3,1646.0,1,1.5 Story Fin,Single,Above Average,Average,Stucco,Comp Shingle,Hardwood,1.0,1,12,4069,2018-07-22 18:01:43,Residential,,,6710 PINEY BRANCH ROAD NW,WASHINGTON,DC,20012.0,18S UJ 24629 15601,38.97184481,-77.02437209,Brightwood,006 B Brightwood,10300.0,010300 1015,Ward 4,2970.0,-77.0252943254225,38.97194769181753,NW
2,1,Forced Air,Y,,6,4,1987.0,,1987,,2004-03-04 00:00:00,330000.0,Q,1,,1,,,,,,,,,0,16,1025,2018-07-22 18:01:38,Condominium,1247.0,1239.0,,,,20009.0,,38.92708187,-77.02854386,Columbia Heights,015 E Columbia Heights,3000.0,,Ward 1,2853.0,-77.02854615468503,38.92708932927631,NW
4,0,Hot Water Rad,N,4.0,12,4,1942.0,2009.0,1961,2.0,2009-08-11 00:00:00,100000.0,U,1,2432.0,1,2 Story,Multi,Average,Good,Common Brick,Built Up,Hardwood,3.0,0,23,2304,2018-07-22 18:01:43,Residential,,,920 19TH STREET NE,WASHINGTON,DC,20002.0,18S UJ 28613 07810,38.90246921,-76.97646057,Trinidad,052 C Trinidad,8904.0,008904 2000,Ward 5,4488.0,-76.97693375165397,38.90216759031427,NE
1,0,Elec Base Brd,N,1.0,5,3,1969.0,,1974,2.0,2012-06-20 00:00:00,,U,1,1054.0,1,2 Story,Semi-Detached,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,13,2500,2018-07-22 18:01:43,Residential,,,5358 GAY STREET NE,WASHINGTON,DC,20019.0,18S UJ 33237 07318,38.89892568,-76.92303744,Deanwood,018 C Deanwood,7807.0,007807 2005,Ward 7,5209.0,-76.92351930351491,38.89926117801594,NE
1,1,Warm Cool,Y,1.0,7,3,1927.0,1990.0,1967,1.5,2002-01-08 00:00:00,295000.0,Q,1,1640.0,1,1.5 Story Fin,Single,Above Average,Average,Shingle,Comp Shingle,Hardwood,1.0,1,12,7279,2018-07-22 18:01:43,Residential,,,6611 6TH STREET NW,WASHINGTON,DC,20012.0,18S UJ 24907 15436,38.97040899,-77.02112148,Brightwood,006 D Brightwood,1702.0,001702 1027,Ward 4,3194.0,-77.02062301960433,38.970609949609056,NW
