BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
1,0,Hot Water Rad,N,1.0,6,3,1900.0,,1957,2.0,,,U,1,1372.0,1,2 Story,Single,Above Average,Average,Vinyl Siding,Comp Shingle,Wood Floor,1.0,0,12,5291,2018-07-22 18:01:43,Residential,,,2430 IRVING STREET NE,WASHINGTON,DC,20018.0,18S UJ 29157 10788,38.92938856,-76.97092764,Woodridge,056 C Woodridge,11100.0,011100 2007,Ward 5,4289.0,-76.9712968547274,38.93004234021957,NE
2,0,Hot Water Rad,N,1.0,6,3,1917.0,,1957,2.0,,,U,1,1616.0,1,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1.0,0,11,2009,2018-07-22 18:01:43,Residential,,,720 OTIS PLACE NW,WASHINGTON,DC,20010.0,18S UJ 24661 11446,38.93442809,-77.02294029999999,Columbia Heights,015 C Columbia Heights,3200.0,003200 2002,Ward 1,3033.0,-77.02263506012666,38.9343323231834,NW
3,1,Hot Water Rad,Y,2.0,9,4,1900.0,2012.0,1969,2.0,2016-07-25 00:00:00,1170000.0,Q,4,1732.0,1,2 Story,Semi-Detached,Good Quality,Good,Common Brick,Metal- Sms,Wood Floor,2.0,1,24,1156,2018-07-22 18:01:43,Residential,,,1011 D STREET SE,WASHINGTON,DC,20003.0,18S UJ 27205 05780,38.88390823,-76.99217862,Capitol Hill,009 B Capitol Hill,6900.0,006900 1009,Ward 6,972.0,-76.99219948115284,38.883637671192545,SE
1,0,Forced Air,Y,,3,1,1909.0,,1909,,,,U,1,,1,,,,,,,,,1,16,324,2018-07-22 18:01:38,Condominium,1189.0,621.0,,,,20009.0,,38.91819289,-77.04305542,Kalorama,029 B Kalorama,4002.0,,Ward 1,2554.0,-77.0430577167459,38.918200343276574,NW
2,0,Forced Air,Y,1.0,5,2,1910.0,2009.0,1964,2.0,2009-05-18 00:00:00,395000.0,Q,1,754.0,1,2 Story,Row Inside,Average,Good,Common Brick,Typical,Hardwood,1.0,0,11,734,2018-07-22 18:01:43,Residential,,,1371 K STREET SE,WASHINGTON,DC,20003.0,18S UJ 27741 05137,38.87822072,-76.98584159,Old City 1,039 D Old City 1,7100.0,007100 1008,Ward 6,1047.0,-76.98698388659052,38.87783633381402,SE
3,1,Hot Water Rad,Y,1.0,7,3,1935.0,1989.0,1967,2.0,2009-10-30 00:00:00,870000.0,Q,1,1590.0,1,2 Story,Semi-Detached,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1.0,1,13,2464,2018-07-22 18:01:43,Residential,,,2704 CORTLAND PLACE NW,WASHINGTON,DC,20008.0,18S UJ 21709 11158,38.93124304,-77.05689661,Garfield,,502.0,000502 2006,Ward 3,2106.0,-77.05705272575166,38.929612954348286,NW
1,0,Hot Water Rad,N,2.0,8,3,1925.0,,1954,2.0,2003-03-14 00:00:00,325000.0,Q,1,1640.0,1,2 Story,Row Inside,Average,Average,Common Brick,Metal- Sms,Hardwood,2.0,0,11,1800,2018-07-22 18:01:43,Residential,,,4832 KANSAS AVENUE NW,WASHINGTON,DC,20011.0,18S UJ 24900 13114,38.94949687,-77.02060307,Petworth,042 B Petworth,2201.0,002201 1007,Ward 4,3214.0,-77.02125221856639,38.9493477286951,NW
2,0,Forced Air,N,1.0,6,3,1937.0,,1954,2.0,2015-10-22 00:00:00,,U,2,1260.0,1,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,11,1487,2018-07-22 18:01:43,Residential,,,1322 HOLBROOK STREET NE,WASHINGTON,DC,20002.0,18S UJ 27984 07898,38.90313599,-76.98372897,Trinidad,052 B Trinidad,8802.0,008802 2001,Ward 5,4062.0,-76.9846425870839,38.90337070255342,NE
2,1,Forced Air,N,,5,3,1895.0,2003.0,1919,,2004-02-05 00:00:00,240000.0,U,1,,1,,,,,,,,,0,16,765,2018-07-22 18:01:38,Condominium,2559.0,1190.0,,,,20001.0,,38.914668765,-77.02496625,Old City 2,040 G Old City 2,4400.0,,Ward 1,362.0,-77.02496853899461,38.91467622332511,NW
1,0,Forced Air,Y,,4,1,2007.0,,2007,,2010-06-15 00:00:00,420000.0,U,1,,1,,,,,,,,,0,17,92,2018-07-22 18:01:38,Condominium,3134.0,855.0,,,,20001.0,,38.90283321,-77.026397325,Central-tri 3,,10100.0,,Ward 2,342.0,-77.0263996137765,38.90284066772405,NW
